,ATLaS_ID,variable,VT_PBIF,VT_AIF,VT_Rebalanced,VT_PRED_SLOPE
815,1002,ctx-rh-cuneus,4.1321953081343,3.93682644055092,0.0182062772798099,4.049460584084676
837,1002,ctx-rh-entorhinal,4.78244590050006,4.4531994321323,0.11160139426892,4.686691873317164
859,1002,ctx-rh-fusiform,4.32992856970547,4.12915653225808,0.0930677916053033,4.243234834618948
881,1002,ctx-rh-inferiorparietal,4.30778274759892,4.02466020234827,0.0734285012436018,4.2215324156780785
903,1002,ctx-rh-inferiortemporal,4.2249891102619,4.02788945750945,0.0568218863656269,4.140396470736348
925,1002,ctx-rh-isthmuscingulate,4.5806794678725,4.36411287058623,0.151924873800045,4.488965203789149
947,1002,ctx-rh-lateraloccipital,4.17289814156898,3.89536591152965,-0.0019083047786987,4.089348466278879
969,1002,ctx-rh-lateralorbitofrontal,5.13994811246412,4.79361383017401,0.249094978394474,5.037036183815204
991,1002,ctx-rh-lingual,4.07591074172187,3.88937896516985,0.0194053904094507,3.9943029460294848
1013,1002,ctx-rh-medialorbitofrontal,5.0781206290106,4.89192651955591,0.222362653618356,4.976446608882644
1035,1002,ctx-rh-middletemporal,4.32695871434861,4.05479440932084,0.0607163738149774,4.240324441641064
1057,1002,ctx-rh-parahippocampal,4.23719166922245,3.96842346697535,-0.0115102986518016,4.152354710328374
1079,1002,ctx-rh-paracentral,4.51860048909671,4.30948638557733,0.124263910542165,4.42812916896816
1101,1002,ctx-rh-parsopercularis,4.92395140630315,4.62452329705296,0.227265210915198,4.8253641589791165
1123,1002,ctx-rh-parsorbitalis,4.43592310926874,4.16497507742746,0.142416987744784,4.3471071538301755
1145,1002,ctx-rh-parstriangularis,4.67176228281481,4.453306588965,0.158406329002219,4.57822436060352
1167,1002,ctx-rh-pericalcarine,4.55583673223273,4.25449612484021,0.151584355242475,4.464619868858816
1189,1002,ctx-rh-postcentral,4.31917373870897,4.04887368540979,0.0575251865457176,4.23269533661335
1211,1002,ctx-rh-posteriorcingulate,4.87825630775499,4.59007154742606,0.222673313863705,4.780583966694307
1233,1002,ctx-rh-precentral,4.28221565605545,4.01381582233449,0.0947101612008787,4.1964772278821
1255,1002,ctx-rh-precuneus,4.59767027818985,4.30498165420427,0.130344185591384,4.505615824474074
1277,1002,ctx-rh-rostralanteriorcingulate,5.20229797917164,4.87571318074724,0.252157922296514,5.098137682855682
1299,1002,ctx-rh-rostralmiddlefrontal,4.31320915992449,4.11708721507325,0.0867317721098795,4.226850180494792
1321,1002,ctx-rh-superiorfrontal,4.1398547111748,3.86955357175983,0.0267775006627702,4.056966630725082
1343,1002,ctx-rh-superiorparietal,4.01178687023497,3.75792131652614,-0.0284622328074998,3.9314629612945056
1365,1002,ctx-rh-superiortemporal,4.54353131490272,4.2531446627712,0.0933739576283945,4.4525608303253525
1387,1002,ctx-rh-supramarginal,4.4765434121228,4.19414195872856,0.104003154674634,4.386914157869239
1409,1002,ctx-rh-frontalpole,3.89634864572066,3.67065916671662,0.0372832114611741,3.8183360383857052
1431,1002,ctx-rh-temporalpole,4.6231829890787,4.28133320220654,0.0549600176465632,4.5306177204237095
1453,1002,ctx-rh-transversetemporal,5.16042283112736,4.83992944858347,0.350654925756772,5.057100958109342
1475,1002,ctx-rh-insula,4.92987135003598,4.7370011831725,0.227778511274436,4.831165573728052
1497,1002,Left-Cerebellum-Cortex,4.53569705638031,4.3297257149859,0.125981463570219,4.44488342915567
1519,1002,Left-Thalamus-Proper,5.45570631767239,5.19129944325116,0.325128941965535,5.346472285147385
1541,1002,Left-Caudate,3.83341935341277,3.58254898861119,-0.0755695237705087,3.75666671499155
1563,1002,Left-Putamen,4.83239129337908,4.59585142735016,0.188404650609811,4.735637260632734
1585,1002,Left-Pallidum,5.38074247896176,4.99488244324145,0.209808005658268,5.273009370775258
1607,1002,Left-Hippocampus,5.20630956842115,4.84539350019148,0.131979011085325,5.102068952153009
1629,1002,Left-Amygdala,5.20158081219531,4.92763824081593,0.2209428196264,5.097434874980861
1651,1002,Left-Accumbens-area,5.35163933266811,5.00608972001097,0.303491434576643,5.24448892703994
1673,1002,Left-VentralDC,5.14431321596765,4.91946903208448,0.225160933556025,5.041313889311892
1695,1002,Right-Cerebellum-Cortex,4.83912278322291,4.53862320626879,0.174506354556245,4.742233972734192
1717,1002,Right-Thalamus-Proper,5.55904077620805,5.1927003213761,0.344627316169951,5.447737783415137
1739,1002,Right-Caudate,3.95587238076904,3.81842471579442,-0.0780818500116082,3.8766679905132886
1761,1002,Right-Putamen,5.16607476061626,4.82535850764674,0.21891043774158,5.062639724789676
1783,1002,Right-Pallidum,5.18873143591689,4.88755837848372,0.218432451993552,5.084842768633151
1805,1002,Right-Hippocampus,4.66437984414826,4.47889269812863,0.113976731217733,4.5709897329624285
1827,1002,Right-Amygdala,5.0517534668897,4.72524503723643,0.219066911999055,4.950607369504831
1849,1002,Right-Accumbens-area,5.0150980325404,4.68027405656115,0.233099400472497,4.914685849460074
1871,1002,Right-VentralDC,5.49281094230675,5.19981013113412,0.256025691285166,5.382834001799142
2,1003,ctx-lh-bankssts,4.330583225056092,6.688562899131313,-0.0245965016207149,5.908688648188979
24,1003,ctx-lh-caudalanteriorcingulate,5.06731124454026,6.84322731948579,0.165420977289466,6.913887315274397
46,1003,ctx-lh-caudalmiddlefrontal,4.70517459961493,7.58630482916973,0.000332226733539942,6.419784657095873
68,1003,ctx-lh-cuneus,4.35775748360378,6.87794484503734,-0.0784385949425329,5.94576546317193
90,1003,ctx-lh-entorhinal,5.30610021138869,7.58329064867948,0.156326524672623,7.239693236649299
112,1003,ctx-lh-fusiform,4.57706810032752,7.09644024811301,0.0120791366968378,6.244994939692637
134,1003,ctx-lh-inferiorparietal,4.48883445193483,7.64656719172158,-0.0657223619032764,6.124608116589974
156,1003,ctx-lh-inferiortemporal,4.45280926733134,7.59665567301835,0.000745099197333232,6.075455014512645
178,1003,ctx-lh-isthmuscingulate,4.39877123540814,5.28593677014726,-0.0294624341057444,6.0017250134477305
200,1003,ctx-lh-lateraloccipital,4.44311414344423,7.44144364859255,-0.0781710515538934,6.062226895925036
222,1003,ctx-lh-lateralorbitofrontal,4.78226728674291,7.90879024648649,0.0938544476451648,6.524970647439144
244,1003,ctx-lh-lingual,4.39162222645696,7.29417694269883,-0.0838790633521305,5.991970838122976
266,1003,ctx-lh-medialorbitofrontal,4.63883670709199,7.32235557868812,0.0197886103934963,6.32927261007477
288,1003,ctx-lh-middletemporal,4.62741614212609,7.5945679393272,0.0092598140180475,6.313690283385033
310,1003,ctx-lh-parahippocampal,4.07908877998986,6.9048335760555,-0.0667420664958149,5.56554725234935
332,1003,ctx-lh-paracentral,4.98983127855461,8.81877775710277,0.0797892144059509,6.808172918000448
354,1003,ctx-lh-parsopercularis,4.67568343638698,6.96000497247472,0.0465924468174517,6.3795466354874515
376,1003,ctx-lh-parsorbitalis,4.63757364788188,7.78174439199063,0.0049219925412978,6.327549280160779
