,ID,Regions,VT_PBIF,VT_AIF,VT_PRED_SLOPE
1154,JD,ctx-rh-caudalmiddlefrontal,3.809580285899128,3.841223395316886,3.9917422614034015
1155,JD,ctx-rh-cuneus,3.719702624921767,3.844997136971976,3.897566937416301
1156,JD,ctx-rh-entorhinal,3.577587470612699,3.631239145528967,3.748656289820517
1157,JD,ctx-rh-fusiform,3.8385763822858925,3.950250268459852,4.022124858612651
1158,JD,ctx-rh-inferiorparietal,3.5871676805053263,3.687309867079044,3.7586945947863057
1159,JD,ctx-rh-inferiortemporal,3.7909307070353866,3.8911051332647584,3.972200919176458
1160,JD,ctx-rh-isthmuscingulate,3.9076619397467613,3.949208087156479,4.094513867026493
1161,JD,ctx-rh-lateraloccipital,3.5171042040633953,3.600585197993145,3.685280906425597
1162,JD,ctx-rh-lateralorbitofrontal,4.3885536524794615,4.5195061338463685,4.598400287265234
1163,JD,ctx-rh-lingual,3.88151378488343,3.9197222995085372,4.0671153908184925
1164,JD,ctx-rh-medialorbitofrontal,3.913006948316605,3.9872524414896677,4.100114456853879
1165,JD,ctx-rh-middletemporal,3.579021786091063,3.67690259575558,3.750159189689136
1166,JD,ctx-rh-parahippocampal,3.6728626990374447,3.721720297614713,3.8484872757103865
1167,JD,ctx-rh-paracentral,3.686100055574177,3.7258997097430564,3.8623576004053457
1168,JD,ctx-rh-parsopercularis,4.112170114794454,4.151597117794084,4.3088009705591315
1169,JD,ctx-rh-parsorbitalis,4.0530957254191025,4.163849760363215,4.246901832349858
1170,JD,ctx-rh-parstriangularis,3.9415053227732475,4.054289860540286,4.129975532658198
1171,JD,ctx-rh-pericalcarine,4.429954730263256,4.471406586593782,4.641781032506102
1172,JD,ctx-rh-postcentral,3.5516967726346675,3.651966182588675,3.721527581264701
1173,JD,ctx-rh-posteriorcingulate,3.9875744034698952,4.0287086532503436,4.178247489818806
1174,JD,ctx-rh-precentral,3.727353903065327,3.8158277124658286,3.9055840752706863
1175,JD,ctx-rh-precuneus,3.901886657796676,3.9396640858330065,4.088462429518534
1176,JD,ctx-rh-rostralanteriorcingulate,3.91076694223558,3.9584569819640136,4.097767340828388
1177,JD,ctx-rh-rostralmiddlefrontal,3.616351395526443,3.707349407896518,3.7892737819544418
1178,JD,ctx-rh-superiorfrontal,3.3398613638863464,3.3723461208843513,3.4995628790920663
1179,JD,ctx-rh-superiorparietal,3.464620197849078,3.561700569568086,3.630287282474711
1180,JD,ctx-rh-superiortemporal,3.591908440931384,3.6542609316467787,3.7636620432514114
1181,JD,ctx-rh-supramarginal,3.629101022377728,3.7201523286726963,3.802633055286408
1182,JD,ctx-rh-frontalpole,3.3233738979828433,3.404419984784086,3.4822870351692963
1183,JD,ctx-rh-temporalpole,3.294237469307074,3.35656860187701,3.4517573954286838
1184,JD,ctx-rh-transversetemporal,4.374541690466951,4.389874774880742,4.583718317931881
1185,JD,ctx-rh-insula,4.225849460723596,4.274481600965704,4.427916100137495
1186,JD,Left-Cerebellum-Cortex,3.905272462432012,3.942489644229135,4.092010132529743
1187,JD,Left-Thalamus-Proper,4.885335621147336,4.946515504966137,5.118936784783019
1188,JD,Left-Caudate,3.2810375644771135,3.3317435003197486,3.437926313261632
1189,JD,Left-Putamen,4.154176617869373,4.193760492141161,4.352816090597047
1190,JD,Left-Pallidum,4.523843612795443,4.6879304144149945,4.740159381865713
1191,JD,Left-Hippocampus,4.2264623512819215,4.292234923304756,4.428558297167004
1192,JD,Left-Amygdala,4.4104171906837815,4.475589765233642,4.621309270114875
1193,JD,Left-Accumbens-area,4.488925238211245,4.575209469624322,4.7035713220095685
1194,JD,Left-VentralDC,4.833452096710439,4.923155618763908,5.0645723557324205
1195,JD,Right-Cerebellum-Cortex,3.8752691118144234,3.9749242535799034,4.06057211740581
1196,JD,Right-Thalamus-Proper,4.930272052411872,4.990731686853003,5.16602193282918
1197,JD,Right-Caudate,3.0607459778284483,3.1037037327496564,3.2071010857393434
1198,JD,Right-Putamen,4.408699681925993,4.483324838127856,4.6195096355676855
1199,JD,Right-Pallidum,4.354483831953951,4.493013569911984,4.562701356615709
1200,JD,Right-Hippocampus,4.472385760335754,4.546269051497371,4.686240979068245
1201,JD,Right-Amygdala,4.63805014327083,4.164521687911985,4.8598269042734366
1202,JD,Right-Accumbens-area,4.0992739185874285,4.128995407818615,4.295288119392437
1203,JD,Right-VentralDC,4.902222719032116,4.989009581862802,5.136631369813459
1204,KT,ctx-lh-bankssts,1.5446867926633272,1.32661362008448,1.3804686463084421
1205,KT,ctx-lh-caudalanteriorcingulate,1.7670667732892258,1.511443221331968,1.579207052229183
1206,KT,ctx-lh-caudalmiddlefrontal,1.6500588172781008,1.372564587595274,1.4746384008953457
1207,KT,ctx-lh-cuneus,1.71305555279201,1.471558342625307,1.5309378517677084
1208,KT,ctx-lh-entorhinal,1.5794190456442452,1.331071824642807,1.4115084574103034
1209,KT,ctx-lh-fusiform,1.648575687086153,1.3591949146409033,1.473312944668166
1210,KT,ctx-lh-inferiorparietal,1.6523034156632748,1.371657306704961,1.4766443724029703
1211,KT,ctx-lh-inferiortemporal,1.4339974043193149,1.19227498637564,1.281546825513621
1212,KT,ctx-lh-isthmuscingulate,1.838488179415195,1.4603872237119142,1.6430355333817706
1213,KT,ctx-lh-lateraloccipital,1.5935082990476799,1.311832216387165,1.4240998595416063
1214,KT,ctx-lh-lateralorbitofrontal,1.9500793462693602,1.5539803858655319,1.7427632631576826
1215,KT,ctx-lh-lingual,1.713434245005519,1.466984564128044,1.531276284600716
1216,KT,ctx-lh-medialorbitofrontal,1.6908099122979132,1.428628248565179,1.511057181223357
1217,KT,ctx-lh-middletemporal,1.528072008763131,1.2396264034613609,1.365620206904189
1218,KT,ctx-lh-parahippocampal,1.5499974954617157,1.319047049610854,1.38521475971982
1219,KT,ctx-lh-paracentral,1.6767266164085612,1.4438556535878349,1.4984711032531983
1220,KT,ctx-lh-parsopercularis,1.76405451627491,1.458316871542166,1.5765150331204314
1221,KT,ctx-lh-parsorbitalis,1.7628751624695667,1.402979777749598,1.5754610583218425
1222,KT,ctx-lh-parstriangularis,1.6945475319906969,1.419227588697356,1.5143974485333511
1223,KT,ctx-lh-pericalcarine,1.848512930734309,1.5543788806631789,1.6519945372062383
1224,KT,ctx-lh-postcentral,1.590595745480012,1.3125713572444953,1.4214969442451486
1225,KT,ctx-lh-posteriorcingulate,1.7021749480415311,1.4789340382397842,1.5212139816716783
1226,KT,ctx-lh-precentral,1.648974189507834,1.388573898516963,1.4736690816541371
1227,KT,ctx-lh-precuneus,1.723295641909337,1.4695290673869383,1.540089300481464
1228,KT,ctx-lh-rostralanteriorcingulate,1.7430935185550243,1.4733718540926,1.5577824329033
1229,KT,ctx-lh-rostralmiddlefrontal,1.636183513702234,1.3734034233843002,1.462238203240085
1230,KT,ctx-lh-superiorfrontal,1.524377646361796,1.3048158159737442,1.362318598133164
1231,KT,ctx-lh-superiorparietal,1.580364500001247,1.3336950817559718,1.4123533989884642
1232,KT,ctx-lh-superiortemporal,1.49797533990892,1.266654334642386,1.338723163497784
1233,KT,ctx-lh-supramarginal,1.611290284253239,1.3148940652729322,1.4399914131963576
1234,KT,ctx-lh-frontalpole,1.363613449966428,1.197240466390857,1.2186455029614691
1235,KT,ctx-lh-temporalpole,1.6735322664885732,1.318614220309229,1.4956163498295103
1236,KT,ctx-lh-transversetemporal,1.788233448253497,1.5375281064289952,1.5981234638108457
1237,KT,ctx-lh-insula,1.693733880240816,1.441378550514568,1.5136702974143934
1238,KT,ctx-rh-bankssts,1.7637777327079267,1.4285073838947242,1.5762676748612372
1239,KT,ctx-rh-caudalanteriorcingulate,1.9197487838761194,1.564987589547645,1.7156571918119317
1240,KT,ctx-rh-caudalmiddlefrontal,1.771648535748559,1.472116601566934,1.5833017201256028
